"","x"
"1","ENSP00000009530"
"2","ENSP00000011653"
"3","ENSP00000013807"
"4","ENSP00000053867"
"5","ENSP00000176195"
"6","ENSP00000216341"
"7","ENSP00000217026"
"8","ENSP00000219334"
"9","ENSP00000223641"
"10","ENSP00000224337"
"11","ENSP00000225688"
"12","ENSP00000227266"
"13","ENSP00000228463"
"14","ENSP00000234313"
"15","ENSP00000236147"
"16","ENSP00000241052"
"17","ENSP00000244745"
"18","ENSP00000246070"
"19","ENSP00000246532"
"20","ENSP00000248901"
"21","ENSP00000250092"
"22","ENSP00000254667"
"23","ENSP00000254722"
"24","ENSP00000257527"
"25","ENSP00000261622"
"26","ENSP00000261623"
"27","ENSP00000261735"
"28","ENSP00000262067"
"29","ENSP00000262213"
"30","ENSP00000262395"
"31","ENSP00000262878"
"32","ENSP00000262958"
"33","ENSP00000263100"
"34","ENSP00000263791"
"35","ENSP00000263864"
"36","ENSP00000263867"
"37","ENSP00000266771"
"38","ENSP00000267970"
"39","ENSP00000268638"
"40","ENSP00000268679"
"41","ENSP00000269349"
"42","ENSP00000271375"
"43","ENSP00000284981"
"44","ENSP00000286091"
"45","ENSP00000286648"
"46","ENSP00000289473"
"47","ENSP00000289902"
"48","ENSP00000291759"
"49","ENSP00000295958"
"50","ENSP00000296861"
"51","ENSP00000299518"
"52","ENSP00000299767"
"53","ENSP00000300026"
"54","ENSP00000300231"
"55","ENSP00000301242"
"56","ENSP00000301244"
"57","ENSP00000301738"
"58","ENSP00000302046"
"59","ENSP00000302543"
"60","ENSP00000303920"
"61","ENSP00000308361"
"62","ENSP00000309376"
"63","ENSP00000310117"
"64","ENSP00000311127"
"65","ENSP00000312029"
"66","ENSP00000316861"
"67","ENSP00000318142"
"68","ENSP00000318697"
"69","ENSP00000320563"
"70","ENSP00000322730"
"71","ENSP00000325618"
"72","ENSP00000327214"
"73","ENSP00000328182"
"74","ENSP00000331831"
"75","ENSP00000333896"
"76","ENSP00000336733"
"77","ENSP00000338728"
"78","ENSP00000338774"
"79","ENSP00000338990"
"80","ENSP00000340874"
"81","ENSP00000341360"
"82","ENSP00000344314"
"83","ENSP00000345672"
"84","ENSP00000349932"
"85","ENSP00000352264"
"86","ENSP00000352420"
"87","ENSP00000353007"
"88","ENSP00000354335"
"89","ENSP00000355387"
"90","ENSP00000355512"
"91","ENSP00000355568"
"92","ENSP00000356047"
"93","ENSP00000356070"
"94","ENSP00000357022"
"95","ENSP00000357076"
"96","ENSP00000358293"
"97","ENSP00000358596"
"98","ENSP00000360493"
"99","ENSP00000360597"
"100","ENSP00000360687"
"101","ENSP00000361926"
"102","ENSP00000362795"
"103","ENSP00000363031"
"104","ENSP00000363382"
"105","ENSP00000363397"
"106","ENSP00000363641"
"107","ENSP00000364907"
"108","ENSP00000365505"
"109","ENSP00000365567"
"110","ENSP00000365596"
"111","ENSP00000367038"
"112","ENSP00000367069"
"113","ENSP00000367227"
"114","ENSP00000367542"
"115","ENSP00000367851"
"116","ENSP00000368547"
"117","ENSP00000369055"
"118","ENSP00000370343"
"119","ENSP00000371594"
"120","ENSP00000375616"
"121","ENSP00000375622"
"122","ENSP00000376250"
"123","ENSP00000376372"
"124","ENSP00000376911"
"125","ENSP00000377224"
"126","ENSP00000378046"
"127","ENSP00000378053"
"128","ENSP00000378217"
"129","ENSP00000379097"
"130","ENSP00000379658"
"131","ENSP00000379997"
"132","ENSP00000380697"
"133","ENSP00000381382"
"134","ENSP00000381448"
"135","ENSP00000382767"
"136","ENSP00000384053"
"137","ENSP00000384744"
"138","ENSP00000385036"
"139","ENSP00000386306"
"140","ENSP00000386722"
"141","ENSP00000386834"
"142","ENSP00000389745"
"143","ENSP00000392770"
"144","ENSP00000394496"
"145","ENSP00000395473"
"146","ENSP00000398064"
"147","ENSP00000398890"
"148","ENSP00000399700"
"149","ENSP00000401445"
"150","ENSP00000403397"
"151","ENSP00000404092"
"152","ENSP00000407375"
"153","ENSP00000409555"
"154","ENSP00000410452"
"155","ENSP00000416330"
"156","ENSP00000419378"
"157","ENSP00000420213"
"158","ENSP00000426167"
"159","ENSP00000426455"
"160","ENSP00000428924"
"161","ENSP00000430237"
"162","ENSP00000436455"
"163","ENSP00000436897"
"164","ENSP00000440428"
"165","ENSP00000444408"
"166","ENSP00000446058"
"167","ENSP00000448536"
"168","ENSP00000451112"
"169","ENSP00000451261"
"170","ENSP00000463334"
"171","ENSP00000471921"
"172","ENSP00000477017"
"173","ENSP00000477341"
"174","ENSP00000477815"
"175","ENSP00000478310"
"176","ENSP00000479870"
"177","ENSP00000482639"
"178","ENSP00000484060"
"179","ENSP00000254801"
"180","ENSP00000348635"
"181","ENSP00000227471"
"182","ENSP00000274217"
"183","ENSP00000293662"
"184","ENSP00000327890"
"185","ENSP00000329880"
"186","ENSP00000335040"
"187","ENSP00000356093"
"188","ENSP00000360682"
"189","ENSP00000367022"
"190","ENSP00000368245"
"191","ENSP00000381282"
"192","ENSP00000396935"
"193","ENSP00000447057"
"194","ENSP00000479488"
